,date,home_team,away_team,home_score,away_score,tournament
0,1969-11-01,Italy,France,1,0,Euro
1,1969-11-01,Denmark,England,4,3,Euro
2,1969-11-02,England,France,2,0,Euro
3,1969-11-02,Italy,Denmark,3,1,Euro
4,1975-08-25,Thailand,Australia,3,2,AFC Championship
5,1975-08-25,Hong Kong,New Zealand,0,2,AFC Championship
6,1975-08-27,Thailand,Singapore,3,0,AFC Championship
7,1975-08-27,New Zealand,Malaysia,3,0,AFC Championship
8,1975-08-29,Australia,Singapore,3,0,AFC Championship
9,1975-08-29,Hong Kong,Malaysia,0,2,AFC Championship
10,1975-08-31,New Zealand,Australia,3,2,AFC Championship
11,1975-08-31,Thailand,Malaysia,3,0,AFC Championship
12,1975-09-02,Australia,Malaysia,5,0,AFC Championship
13,1975-09-02,New Zealand,Thailand,3,1,AFC Championship
14,1977-08-02,Taiwan,Indonesia,5,0,AFC Championship
15,1977-08-03,Thailand,Singapore,2,0,AFC Championship
16,1977-08-05,Indonesia,Japan,1,0,AFC Championship
17,1977-08-05,Thailand,Hong Kong,5,0,AFC Championship
18,1977-08-07,Taiwan,Japan,7,0,AFC Championship
19,1977-08-07,Singapore,Hong Kong,1,0,AFC Championship
20,1977-08-09,Taiwan,Singapore,3,0,AFC Championship
21,1977-08-09,Thailand,Indonesia,2,1,AFC Championship
22,1977-08-11,Singapore,Indonesia,2,0,AFC Championship
23,1977-08-11,Taiwan,Thailand,1,0,AFC Championship
24,1979-07-18,Italy,Northern Ireland,4,0,Euro
25,1979-07-18,Denmark,France,3,1,Euro
26,1979-07-19,England,Finland,3,1,Euro
27,1979-07-19,Sweden,Wales,3,0,Euro
28,1979-07-20,Northern Ireland,Norway,1,4,Euro
29,1979-07-20,France,Scotland,0,0,Euro
30,1979-07-21,Switzerland,Finland,1,1,Euro
31,1979-07-21,Wales,Netherlands,0,2,Euro
32,1979-07-22,Italy,Norway,2,1,Euro
33,1979-07-22,Denmark,Scotland,2,0,Euro
34,1979-07-23,England,Switzerland,2,0,Euro
35,1979-07-23,Sweden,Netherlands,1,1,Euro
36,1979-07-25,Italy,England,3,1,Euro
37,1979-07-25,Denmark,Sweden,1,0,Euro
38,1979-07-27,Sweden,England,0,0,Euro
39,1979-07-28,Italy,Denmark,0,2,Euro
